SYMBOL,DATE,OPEN,HIGH,LOW,VOLUME,CLOSE
PPL,2/6/2013,177.9,178.6,177.3,974700,178.1
PPL,2/7/2013,178.8,178.8,177.4,513400,177.51
PPL,2/8/2013,177.98,178.3,177.4,604700,177.98
PPL,2/11/2013,178,179.39,177.9,660700,178.32
PPL,2/12/2013,178.32,178.5,177.5,746800,178.06
PPL,2/13/2013,178.44,179.8,178,1466700,178.23
PPL,2/14/2013,178.51,180,178.51,650500,179.55
PPL,2/15/2013,179.75,184.1,179.75,2796500,182.5
PPL,2/18/2013,183,184.1,181.8,728400,183.08
PPL,2/19/2013,183.7,183.89,181.51,491000,182.42
PPL,2/20/2013,183,183.75,181.75,842800,183.13
PPL,2/21/2013,183.25,183.68,181.5,910200,181.86
PPL,2/22/2013,182.4,182.45,180.5,413700,181.13
PPL,2/25/2013,181.5,182.49,180.75,612600,181.5
PPL,2/26/2013,181.75,181.9,180,544100,180.34
PPL,2/27/2013,180.6,183.99,180.5,969000,183.63
PPL,2/28/2013,183.9,186,183.5,1514400,185.1
PPL,3/1/2013,186,186.7,180.75,2386400,181
PPL,3/4/2013,181,181,177.71,1532900,178.63
PPL,3/5/2013,179,179.89,177.91,582000,178.88
PPL,3/6/2013,179.49,180.99,177.6,1244300,178.18
PPL,3/7/2013,178.97,179.4,178.5,308800,178.65
PPL,3/8/2013,178.8,179.3,178,327800,178.56
PPL,3/11/2013,179.2,179.38,175.1,877400,176.11
PPL,3/12/2013,176.1,182,176.1,1450800,180.99
PPL,3/13/2013,177.69,177.69,174.1,995900,174.82
PPL,3/14/2013,175.48,175.49,173.5,179100,173.8
PPL,3/15/2013,173.8,175.99,173,348300,173.7
PPL,3/18/2013,173.26,173.5,171.71,230800,172.82
PPL,3/19/2013,173.49,174.4,173,587200,173.43
PPL,3/20/2013,174,174.75,173.5,262900,174.43
PPL,3/21/2013,174.05,175.6,173.57,567100,174.98
PPL,3/22/2013,175.05,175.78,174.5,464000,175.33
PPL,3/25/2013,175.6,176.65,173.45,331700,174.04
PPL,3/26/2013,174,174.45,173.5,125300,173.7
PPL,3/27/2013,173.7,175,173.5,482300,173.98
PPL,3/28/2013,174.3,175,173.7,284200,174.39
PPL,3/29/2013,174.5,175.5,174.1,471200,175.21
PPL,4/1/2013,176.1,182.11,175,2438600,179.91
PPL,4/2/2013,180,181.72,179.1,984300,179.72
PPL,4/3/2013,180.3,182.5,179.7,977500,182.22
PPL,4/4/2013,182.22,182.65,180.75,330200,181.42
PPL,4/5/2013,181.98,181.98,180.01,138600,180.36
PPL,4/8/2013,180,182.8,180,485800,180.77
PPL,4/9/2013,181,181.99,179.5,500000,179.83
PPL,4/10/2013,180,180.9,179.51,149800,179.77
PPL,4/11/2013,180.02,181.75,179.45,313800,181.34
PPL,4/12/2013,181.5,181.5,179.5,315700,180.16
PPL,4/15/2013,180,183.5,180,2415800,181.28
PPL,4/16/2013,181.3,181.3,178.5,1447700,179.63
PPL,4/17/2013,179.71,180.01,176,634800,178.31
PPL,4/18/2013,178,180.01,177.5,290300,179.9
PPL,4/19/2013,180.45,180.5,178.8,204100,179.03
PPL,4/22/2013,179.03,180,178.5,189300,179.42
PPL,4/23/2013,179.11,180.2,179.11,141400,179.8
PPL,4/24/2013,179.8,179.8,178.25,514300,178.66
PPL,4/25/2013,178.66,181.35,178.66,408000,179.51
PPL,4/26/2013,180.1,181,179.36,349200,179.64
PPL,4/29/2013,179.64,179.64,178.5,194300,178.8
PPL,4/30/2013,179,181.5,178.51,480900,181.09
PPL,5/2/2013,181.49,183.9,181.01,536900,183.22
